Stage_1,Stage_2,Stage_3,Stage_4,Stage_5,Total_Score
6.1004911148,11.7462457302,6.4,5.15190149372,3.1929205783,8
7.56467870578,11.7516900947,4.8,5.81904937268,4.13940995716,8
6.25052040588,11.7825734575,11.6,6.70160335327,7.60729191679,8
10.1988088535,11.7465095955,-0.4,5.80276663351,3.30026533693,9
11.0757478477,11.7487405865,5.6,5.94055165257,2.8994941814,9
7.36686738583,11.7758672553,7.6,4.20308891189,3.13160215961,8
10.9757130045,11.7777765867,8.8,5.71380398592,3.3241911656,9
6.60365163201,11.7040788482,10.8,4.59225325698,5.84852686216,7
10.2399466853,11.7608105011,6.4,4.3980210834,1.88295524287,8
9.74407444843,11.7340946108,6.0,4.58168115179,2.95519590578,8
9.42159926399,11.8196554075,8.8,4.33662386223,3.90647316263,8
10.2323287291,11.7358032259,-2.8,5.19814013424,5.60351413116,9
0.015129994697,11.6008054394,2.4,4.01581876108,2.76184671924,6
9.57416093361,11.7472620298,-2.8,3.45359142748,2.59364579287,9
7.90761781381,11.7832195629,9.2,5.99134156073,7.28022133829,8
11.4769419482,11.8147024859,1.6,7.57103714428,24.0,10
7.19091713439,11.6946863287,8.0,4.40339344557,3.07041854765,7
5.4258064298,11.6613258489,10.4,5.63319573657,2.62211190394,7
6.65231790955,11.634430645,-2.0,0.3493012488,0.92331148788,7
6.92885408918,11.7443874713,10.0,5.67138736804,4.31706047697,8
8.32212967082,11.7723679924,5.2,5.47585753402,2.68116092048,8
0.276430404345,11.4951914523,11.6,4.77718156906,4.84028681522,6
11.0506454713,11.7570907132,7.6,5.95594445559,5.7522692766,9
10.492063757,11.7927449536,6.4,6.96328526953,5.11100012689,9
7.2447873995,11.7927892904,10.4,4.84192120998,3.06082432293,8
9.40480405591,11.7807414879,8.4,5.58147682173,4.58909463859,8
5.01654450784,11.7977078483,8.8,2.79632911921,2.96710832717,7
9.97294270268,11.7802079692,6.0,3.89355285133,5.02050719188,8
9.23418591822,11.779700941,6.0,4.91031938853,3.93845037655,8
7.20998722297,11.6836251323,11.6,4.57923379649,8.30530642142,7
10.5130191869,11.7721214269,6.0,4.80450381356,3.88501424317,8
10.5236999285,11.7955916792,9.2,6.23090423569,5.20313588645,9
7.73014880433,11.8110535856,9.6,4.65543076743,5.85211937275,8
10.2237432422,11.8041334364,6.4,4.43351663856,6.59736453705,9
9.98195004502,11.7679082147,10.0,5.8884151315,5.33877104873,8
8.49958704217,11.7818789502,10.0,3.75948527597,2.96343466173,8
11.5012538927,11.8045637764,1.6,6.87520814334,24.0,10
6.52915184021,11.7220313369,7.6,5.03121262014,4.00745138784,8
8.51501977058,11.7688798605,5.2,5.45464023454,3.33248605816,8
8.10493926463,11.7360526021,9.2,6.08972469949,5.10481153753,8
5.21140049044,11.7440760567,12.0,5.05464200718,4.89284527979,7
6.18592345172,11.6923692458,6.4,5.59640313345,3.02266591198,8
5.25085883697,11.7539430815,11.2,5.03134628338,7.67523890956,8
9.50784463276,11.756685561,10.4,4.58805478137,3.84470400248,8
8.91938018956,11.7487426767,8.0,4.4655065762,2.91042380446,8
3.43210468622,11.6066715923,10.4,3.59812871766,4.40374121134,6
8.0271763835,11.7633290367,4.0,5.35407588313,2.77480189844,8
11.5145644599,11.7471553516,10.0,4.59864331524,4.0242043717,8
9.64173294231,11.7565260522,10.0,6.34252815097,9.96885647627,9
3.26232484972,11.6408588115,9.6,4.10085705736,3.30877763594,7
-0.851419104327,11.5371603556,5.6,3.56559384304,3.71722763909,6
7.77438373082,11.7877460628,6.4,5.25592381552,2.98136209636,8
10.0570161902,11.677957092,9.6,6.68752102898,2.72014510465,8
10.3743905286,11.8029772956,5.2,4.80160770975,2.75505771317,9
5.15500880868,11.6627440921,9.2,4.52358751994,4.75164056542,7
8.98681243393,11.7636646249,8.8,5.22576567479,4.21720970907,8
9.52799635552,11.768828744,7.6,4.01092664549,2.76423858451,8
7.74216743246,11.7353745803,10.4,5.94453221096,2.97656292009,8
8.60803938457,11.7634701497,7.6,6.05163564421,3.39541647501,8
6.67308638197,11.7229373994,11.2,5.98883914318,3.69466214143,8
8.8085671577,11.7783435877,9.2,4.89697364163,3.64141103667,8
6.52755090347,11.6538202375,6.8,5.47706944792,3.35562742518,7
7.89492524193,11.7266748855,10.8,4.78060780027,6.5579135183,8
-1.19505518324,11.6650564467,10.0,3.92434701404,2.90752370207,6
